year,month,day,temp,humidity,sun,wind
2008,5,1,24.5,64,2.8,2.7
2008,5,2,24,65,0,2.1
2008,5,3,30.5,58,9.7,2.3
2008,5,4,28,66,9.9,3
2008,5,5,20.6,78,0,3.9
2008,5,6,25.4,44,12.7,2.8
2008,5,7,28.1,40,11.6,2.8
2008,5,8,27.8,35,5.6,2.6
2008,5,9,23.9,47,0,2.7
2008,5,10,18.4,82,0,3.1
2008,5,11,20.2,68,3.6,3.5
2008,5,12,19.7,59,1.3,1.9
2008,5,13,24.2,55,7.1,3
2008,5,14,22.8,63,6.3,3.2
2008,5,15,24.6,39,13.3,3.3
2008,5,16,25.6,50,11.6,2.4
2008,5,17,26.9,49,11.7,2.6
2008,5,18,25,62,7.7,3.4
2008,5,19,22.7,70,0,4.3
2008,5,20,23.2,61,6.5,5.4
2008,5,21,26.7,45,12.9,2.8
2008,5,22,27.2,59,5.5,2.1
2008,5,23,28.9,59,10.1,2.4
2008,5,24,23.9,75,0.2,2.5
2008,5,25,25.8,75,4,3.1
2008,5,26,29.5,55,12,4.1
2008,5,27,29.7,47,12.1,3.8
2008,5,28,25.6,63,4.3,3.2
2008,5,29,22.3,78,0.8,2.7
2008,5,30,23.7,67,0.6,2.3
2008,5,31,20,81,0,1.8
2008,6,1,26.7,64,8.9,2.3
2008,6,2,20.7,77,0,1.8
2008,6,3,22.5,80,1.7,2.1
2008,6,4,23.9,68,0.2,2.6
2008,6,5,23.1,75,0,2.2
2008,6,6,26.7,65,7.5,3
2008,6,7,27.1,61,5.9,1.9
2008,6,8,28.5,68,6,2.6
2008,6,9,27.1,73,2.1,1.8
2008,6,10,28.7,64,11.5,2.3
2008,6,11,28.4,61,1,1.8
2008,6,12,28.3,67,4.2,2.5
2008,6,13,30.8,47,13.5,2.4
2008,6,14,29,46,8.5,3.6
2008,6,15,24.9,57,1.1,2.6
2008,6,16,27.5,61,10,2.4
2008,6,17,31,61,11.5,2.6
2008,6,18,28.9,64,3,2.8
2008,6,19,25.8,73,0.1,3
2008,6,20,28.2,82,0.3,1.6
2008,6,21,27.4,86,0.1,1.5
2008,6,22,25.5,88,0,2.2
2008,6,23,27.8,74,1.4,2.7
