year,month,day,humidity,temp,sun,wind
2008,5,1,69,23.4,8.5,5.5
2008,5,2,83,21,0,3.4
2008,5,3,90,20,0,4.3
2008,5,4,86,20.2,0.2,4.1
2008,5,5,83,20.8,0.4,4.1
2008,5,6,37,25.4,11.9,5.2
2008,5,7,59,24.3,11.5,3.7
2008,5,8,50,23.5,7.7,3.8
2008,5,9,47,24,2.6,3.3
2008,5,10,80,16,0,4.5
2008,5,11,79,13.7,0.2,4.3
2008,5,12,73,14.5,0,4.8
2008,5,13,88,12.2,0,5
2008,5,14,86,14,0,2.4
2008,5,15,75,21.6,7.4,2.4
2008,5,16,72,22.9,9.1,2.9
2008,5,17,73,23.7,8.5,3.1
2008,5,18,72,23.2,9.3,3.8
2008,5,19,76,25,3.2,4.7
2008,5,20,74,23.5,0.4,7.6
2008,5,21,55,23.6,10.7,3.4
2008,5,22,68,25.7,9.5,5
2008,5,23,63,29.2,9.9,3.6
2008,5,24,76,24.9,4,4.6
2008,5,25,88,23,0,4.6
2008,5,26,72,27.3,8.5,4.1
2008,5,27,56,27.5,13.1,3.4
2008,5,28,71,24.7,5.3,3.2
2008,5,29,88,17.4,0,4.3
2008,5,30,87,17.1,0,5.8
2008,5,31,89,14.7,0,4.6
2008,6,1,72,23.8,10,2.9
2008,6,2,78,21.5,0,2.9
2008,6,3,89,16.5,0,4.5
2008,6,4,74,22.9,1.9,3.4
2008,6,5,83,23.1,0.3,3.3
2008,6,6,75,25.7,9.6,4.4
2008,6,7,65,26.1,6.1,3.6
2008,6,8,83,22.7,0,2.3
2008,6,9,87,22,0.9,3.2
2008,6,10,73,26,12.6,3.3
2008,6,11,80,25.1,2.1,3.1
2008,6,12,82,21.1,0.6,3.5
2008,6,13,69,26.8,13.2,3.2
2008,6,14,60,28.9,11,4.5
2008,6,15,65,24.5,4.9,3.8
2008,6,16,68,26.8,7.6,3.2
2008,6,17,72,25.1,2.3,2.9
2008,6,18,74,26.2,2.9,2.8
2008,6,19,72,26.8,2.4,5.6
2008,6,20,84,24,0,5.5
2008,6,21,89,24.8,0.2,3.2
2008,6,22,91,23.2,0,3.4
2008,6,23,80,25.5,1,3.7
2008,6,24,76,26.3,10.5,4.6
2008,6,25,74,26.2,3,4
2008,6,26,83,18.5,0,3.9
2008,6,27,76,23.8,0,1.8
2008,6,28,79,25.2,0,2.4
2008,6,29,90,23.8,0,4.2
2008,6,30,75,25.9,6.1,4.2
2008,7,1,77,25.4,2.8,2.8
2008,7,2,76,25.8,10.3,4.4
2008,7,3,76,27.8,1.1,6.1
2008,7,4,78,29.3,8.2,6
2008,7,5,80,29.8,8.5,3.1
2008,7,6,83,29.6,4.1,3.3
2008,7,7,86,25.9,0,2.9
2008,7,8,85,24.7,0,2.6
2008,7,9,75,27.2,2.7,2.6
2008,7,10,72,27.3,5.5,2.7
2008,7,11,73,28.7,4.6,4.8
2008,7,12,77,33.3,9.2,3.3
2008,7,13,77,32.5,7.1,2.4
2008,7,14,77,32.4,4.3,3.2
