year,month,day,temp,humidity,sun,wind
2008,5,1,25.3,61,0.6,2
2008,5,2,23.7,64,11,2.4
2008,5,3,26.5,56,11.9,1.8
2008,5,4,27.5,57,6.7,2.1
2008,5,5,21,70,3.9,3.6
2008,5,6,25.2,49,10.2,1.7
2008,5,7,26.3,50,11.3,2.2
2008,5,8,24.8,69,8,2.4
2008,5,9,20.2,74,0,2.6
2008,5,10,14.9,85,0,3.4
2008,5,11,19.9,64,7.9,4.3
2008,5,12,22.8,60,9.9,2.9
2008,5,13,22,61,6.5,2.8
2008,5,14,19.8,63,7.9,2.6
2008,5,15,20.8,63,10.5,2.2
2008,5,16,22.6,63,12.2,2.3
2008,5,17,24.4,51,9.2,1.9
2008,5,18,28.7,47,9.5,2.2
2008,5,19,23.4,74,0,3.1
2008,5,20,20.7,58,11.7,3.3
2008,5,21,25.2,56,11.1,2
2008,5,22,26.5,54,8.2,2.3
2008,5,23,27.5,55,10.1,2.2
2008,5,24,25.1,75,0.1,2.6
2008,5,25,25.3,78,6.8,2
2008,5,26,28.1,70,11.5,2.4
2008,5,27,28.2,63,10.7,1.6
2008,5,28,26.4,70,0,3.2
2008,5,29,23.1,83,1.2,4.4
2008,5,30,24.7,78,3.1,2.4
2008,5,31,24.3,60,8.4,2.9
2008,6,1,27.8,46,8.1,1.9
2008,6,2,22.9,75,0,3.1
2008,6,3,22.4,78,0.1,2.6
2008,6,4,27.5,67,4.6,2.1
2008,6,5,26.6,64,7.9,3
2008,6,6,24.8,66,7.8,2.7
2008,6,7,26.4,66,6.1,1.9
2008,6,8,24.1,69,0,1.4
2008,6,9,27.1,72,6.7,2.1
2008,6,10,28.3,69,0.4,1.8
2008,6,11,22.7,87,0,1.9
2008,6,12,24.2,77,8.4,4.3
2008,6,13,27.9,68,11.9,1.9
2008,6,14,25.8,72,0,1.6
2008,6,15,21.6,83,0,2.6
2008,6,16,24.5,78,0.6,1.9
2008,6,17,29,81,1.2,1.9
2008,6,18,31.5,69,3.1,3.1
2008,6,19,27.7,85,0,1.7
2008,6,20,26.5,84,0,1.3
2008,6,21,24.9,91,0,1.3
2008,6,22,23.6,91,0,3
2008,6,23,23.7,75,1.1,4.5
2008,6,24,26.2,79,2.1,2
2008,6,25,22.4,87,0,3.6
2008,6,26,25,80,6.5,4.5
2008,6,27,26.2,70,7.5,2.1
2008,6,28,26,82,0,2.7
2008,6,29,28.3,82,0.4,2.8
2008,6,30,24.9,82,2.2,4.4
2008,7,1,27.3,76,6.9,2
2008,7,2,31.6,74,2.7,2.7
2008,7,3,32.1,63,3.6,3.2
2008,7,4,32,69,5.1,2.3
2008,7,5,31.2,70,0.6,2.4
2008,7,6,33.7,63,8.7,2.3
2008,7,7,32.4,72,12.4,2.4
2008,7,8,31.4,75,11.2,2.5
2008,7,9,30.4,68,10.9,3
2008,7,10,32,59,12.7,2.1
2008,7,11,33,66,3.2,2
2008,7,12,32.9,66,1.2,1.8
2008,7,13,33.4,67,4.5,2
2008,7,14,33.3,69,8,2.4
2008,7,15,32.5,71,10.2,2.3
2008,7,16,33.3,63,12.2,2.6
2008,7,17,34.2,66,3.8,2.3
2008,7,18,33.5,76,4.8,2.2
2008,7,19,33.7,72,5,2.1
2008,7,20,34.8,63,7.2,2.8
2008,7,21,32.3,67,0.6,2.3
2008,7,22,34.2,71,8.4,2.4
2008,7,23,33.5,72,6.2,2
2008,7,24,34.5,68,7.3,2.2
2008,7,25,36.5,64,12.9,2.6
2008,7,26,35.7,62,7.9,2.4
2008,7,27,35.5,64,8.5,2.3
2008,7,28,35.4,65,8.3,2.4
2008,7,29,35.2,62,10.7,2.5
2008,7,30,34.7,66,6.8,2.6
2008,7,31,34.8,68,11.2,2.7
2008,8,1,34.9,66,9.9,2.6
2008,8,2,37.2,51,8.5,2.5
2008,8,3,34.9,60,6.6,2.8
2008,8,4,33.2,72,4,2.1
2008,8,5,32.6,68,6.5,2.5
2008,8,6,33,67,10.1,3.9
2008,8,7,34.3,64,7,2.7
2008,8,8,35.8,69,5.3,2
2008,8,9,34.2,70,7,1.7
2008,8,10,35.6,69,3.7,1.9
2008,8,11,37.3,73,6.9,2
2008,8,12,35.8,66,7.9,2.4
2008,8,13,33.8,73,6,2.3
2008,8,14,34.2,73,7.1,2.4
2008,8,15,32.4,79,2.5,2
2008,8,16,31.5,84,1.1,2.2
