year,month,day,humidity,temp,sun,wind
2008,5,1,59,25,1.4,2.8
2008,5,2,58,24.7,3.4,3.5
2008,5,3,57,28.4,11.9,3.7
2008,5,4,55,27,6.8,4.3
2008,5,5,70,22.4,2.3,4
2008,5,6,47,23.7,12.3,4.1
2008,5,7,49,24.7,11.3,3.3
2008,5,8,51,26.1,7.9,3.7
2008,5,9,45,23.2,0,4.2
2008,5,10,82,16.5,0,5.4
2008,5,11,62,20.9,3.5,4.5
2008,5,12,52,23.8,13.1,3.7
2008,5,13,68,21.7,6.2,3.1
2008,5,14,60,20.8,6.5,3.6
2008,5,15,56,23,11.8,4.1
2008,5,16,60,24.1,8,3.6
2008,5,17,50,26.2,11.8,3.9
2008,5,18,53,25.6,7.6,4.5
2008,5,19,74,22.7,0,3.3
2008,5,20,59,23.6,11.6,3
2008,5,21,52,25.1,11.9,3.7
2008,5,22,59,26.1,7.5,3.3
2008,5,23,61,26.8,8,3.7
2008,5,24,88,21.3,0,1.9
2008,5,25,79,25.4,5.1,2.1
2008,5,26,61,28.1,10.9,3.8
2008,5,27,49,27.5,11.4,3.8
2008,5,28,67,26,3.5,2.9
2008,5,29,72,27.5,2,3.6
2008,5,30,69,25.6,0.1,2.3
2008,5,31,62,25.8,7.6,3.6
2008,6,1,52,26.5,8.6,4.1
2008,6,2,71,20.8,0,3.9
2008,6,3,76,22.8,0.2,2.7
2008,6,4,68,26.6,4,2.4
2008,6,5,68,25.9,5.3,3.1
2008,6,6,62,25.2,6.1,3.4
2008,6,7,64,26.1,4.5,3.4
2008,6,8,63,25.7,3.7,3.1
2008,6,9,64,27.2,5.2,2.5
2008,6,10,66,28.7,7.5,3.2
2008,6,11,79,23.8,0,2.9
2008,6,12,65,30.6,10.9,4.6
2008,6,13,53,29.9,13.5,3.8
2008,6,14,53,29.7,3.7,2.9
2008,6,15,74,22.8,0,2.3
2008,6,16,67,28.4,6.2,2.9
2008,6,17,62,29.6,8.5,3.6
2008,6,18,69,29.6,1.5,2.7
2008,6,19,85,25.2,0,3.4
2008,6,20,89,24.8,0,2.7
2008,6,21,89,25.4,0,1.9
2008,6,22,79,28.6,2.3,3.5
2008,6,23,61,28.6,7,4.5
2008,6,24,67,25.8,1.4,3.1
2008,6,25,72,26.7,0,2.3
2008,6,26,67,27.5,1.2,4
2008,6,27,62,28.2,9,3.6
2008,6,28,80,24.3,0,2.1
2008,6,29,81,28.2,0.4,2.8
2008,6,30,63,30.6,4.4,5.1
2008,7,1,64,27.6,8.8,3.2
2008,7,2,84,23,0,1.7
2008,7,3,77,30.7,2.4,3
2008,7,4,69,32.3,9.9,3.1
2008,7,5,80,29.5,1,2.6
2008,7,6,72,31.7,7.6,2
2008,7,7,70,32.5,10.1,2.6
2008,7,8,65,33.2,9.7,3.6
2008,7,9,56,33.1,12.4,3.5
2008,7,10,63,31.5,12.9,3.7
2008,7,11,66,30.5,3,3.2
2008,7,12,66,32.1,9.8,2.7
2008,7,13,66,32.4,6,2.7
2008,7,14,66,33.4,7.2,2.7
2008,7,15,71,32.4,6.9,2.7
2008,7,16,61,32.9,12.2,3.5
2008,7,17,66,32.4,4.4,3.1
2008,7,18,69,33.5,8.6,3.4
2008,7,19,74,33.6,6.7,2.4
2008,7,20,65,34.8,12.9,3.3
2008,7,21,65,33.5,5.1,3.4
2008,7,22,62,34.3,7.7,4.2
2008,7,23,60,34.7,8.6,3.4
2008,7,24,59,34.4,10.5,3
2008,7,25,62,35.3,10.8,3.2
2008,7,26,62,35.4,11.5,3.6
2008,7,27,64,35,7.1,4.2
2008,7,28,68,34.5,4.6,2.6
2008,7,29,63,34.7,12.1,3.5
2008,7,30,65,35.2,9.1,3.1
2008,7,31,65,35.6,8.4,2.7
2008,8,1,66,34.4,9,3.1
2008,8,2,63,35.3,9.7,4.1
2008,8,3,61,35.6,7.1,4.4
2008,8,4,68,33.4,4,3.1
2008,8,5,60,34.8,10.2,3.8
2008,8,6,62,35.8,9.1,3.6
2008,8,7,61,35.7,3,3.2
2008,8,8,63,33.6,1.6,3.1
2008,8,9,64,35.2,9.3,3.9
2008,8,10,62,36.7,11.9,3.9
2008,8,11,61,36.6,11.2,3.7
2008,8,12,63,36.2,10,3.8
2008,8,13,65,33.9,5.9,3.9
2008,8,14,71,33.4,5.4,3.4
2008,8,15,67,33.4,3.9,3.1
2008,8,16,75,29.4,0,3.4
2008,8,17,73,31.6,3,2.7
2008,8,18,75,31.8,4.4,3.5
2008,8,19,72,30.1,2.8,4.6
2008,8,20,59,32.4,8.7,3.3
2008,8,21,60,30.6,6.5,3.3
2008,8,22,69,28.4,3.4,2.9
2008,8,23,80,31.4,1.7,3.2
2008,8,24,62,31.5,11.7,5.9
2008,8,25,57,30.7,9.2,5.1
2008,8,26,70,28.5,3.5,3.9
2008,8,27,72,30.3,2.5,3.8
2008,8,28,75,29.9,0.4,4
2008,8,29,80,26.2,0,3.1
2008,8,30,73,31,2.3,4
2008,8,31,67,32.5,6.7,3.4
2008,9,1,69,33.1,5.6,3
2008,9,2,68,31.4,4,3.2
2008,9,3,62,31.8,8.4,5.5
2008,9,4,61,32.7,9,3.6
2008,9,5,67,33.2,7.2,3
2008,9,6,68,32.7,3.5,2.7
2008,9,7,64,32.9,8.9,4.8
2008,9,8,54,33.1,11.2,5.7
2008,9,9,54,31.7,11.8,4.5
2008,9,10,59,31.7,11.6,4
2008,9,11,62,31.7,10.7,3
2008,9,12,68,29.4,1.5,2.5
2008,9,13,77,30.5,3.7,2.8
2008,9,14,70,31.1,9.2,3.2
2008,9,15,81,25.4,0,2.7
2008,9,16,70,30.5,8.6,3.4
2008,9,17,76,30.5,3,3.6
2008,9,18,74,28.2,0,3.8
2008,9,19,68,32.6,3.6,4.7
