year,month,day,temp,humidity,sun,wind
2008,5,1,24.9,64,7.9,4.3
2008,5,2,20.5,83,0,2.2
2008,5,3,21.4,86,1.2,3.5
2008,5,4,21,81,0,2.7
2008,5,5,20.9,77,0.2,3.5
2008,5,6,24.4,37,12.7,5.8
2008,5,7,26.3,55,11.6,2.7
2008,5,8,23.6,45,8.3,2.7
2008,5,9,23.2,44,2.6,2.9
2008,5,10,16.4,75,0,2.6
2008,5,11,13.6,76,0,3.4
2008,5,12,14.8,67,0,2.9
2008,5,13,13.4,78,0,5.2
2008,5,14,17.1,81,1.2,2.4
2008,5,15,22,70,10.2,2.4
2008,5,16,23,68,7.3,2.3
2008,5,17,23.3,70,5.7,2.6
2008,5,18,23.4,69,8.4,2.6
2008,5,19,23.1,81,1.9,3.3
2008,5,20,24.4,69,0.4,5.4
2008,5,21,24.9,52,10.2,3.3
2008,5,22,25.6,64,9.6,4.1
2008,5,23,29.1,64,9.9,2.3
2008,5,24,25.7,75,4.1,2.9
2008,5,25,23.1,87,0,1.9
2008,5,26,27.4,74,8,3.1
2008,5,27,27.8,54,13,3.4
2008,5,28,25.7,66,3.8,3
2008,5,29,18.7,87,0,3.1
2008,5,30,17.2,85,0,3.3
2008,5,31,13.9,89,0,4.4
2008,6,1,24.2,71,11.3,2.9
2008,6,2,20.4,80,0,2
2008,6,3,16.1,88,0,4.1
2008,6,4,23.1,76,1.5,3.3
2008,6,5,20.8,83,0.1,1.9
2008,6,6,27.6,72,9.6,3.3
2008,6,7,26,62,6.4,3.4
2008,6,8,23.9,77,0.5,2.3
2008,6,9,22.9,83,0.5,2.3
2008,6,10,27,71,11.8,2.7
2008,6,11,25.2,79,2.3,2.4
2008,6,12,20.8,80,1.1,2.3
2008,6,13,28,64,13.2,3
2008,6,14,28.1,59,11.2,3.1
2008,6,15,25.2,62,6.4,3.3
2008,6,16,27.2,66,11.3,2.4
2008,6,17,25.9,72,7.2,2.6
2008,6,18,26.2,71,2.6,2.9
2008,6,19,26.3,73,2.4,4.9
2008,6,20,23.3,86,0,4.3
2008,6,21,25.4,86,0,2.5
2008,6,22,23.7,90,0,2.5
2008,6,23,23.7,81,0.2,2.9
2008,6,24,25.9,76,9.3,4.2
2008,6,25,25.7,72,2.5,2.7
2008,6,26,19.2,83,0,2.5
2008,6,27,25.2,73,6.6,2.2
2008,6,28,25.3,76,0.3,2.3
2008,6,29,22.5,89,0,2.7
2008,6,30,24.7,77,2.4,2.9
2008,7,1,25.6,75,5.5,2.7
2008,7,2,27.6,73,9.5,3.5
2008,7,3,26.7,78,2.3,5.2
2008,7,4,29.6,79,7.9,5
2008,7,5,30.6,77,7.2,2.4
2008,7,6,30.5,81,4.8,2.6
2008,7,7,25.9,86,0,2.1
2008,7,8,26.1,82,0.2,2.5
2008,7,9,26.6,71,2.4,1.8
2008,7,10,28.1,70,4.4,2.5
2008,7,11,29.1,72,5.6,4.2
2008,7,12,33.3,70,9.4,2.4
2008,7,13,32.2,72,9,2.7
2008,7,14,32,73,4.5,2.3
2008,7,15,30.5,69,3.9,2.7
2008,7,16,31.3,73,6.6,2.9
2008,7,17,31.7,73,7.3,3
2008,7,18,31.1,75,1.2,3.5
2008,7,19,32,68,10.4,3
2008,7,20,31.7,69,8.3,2.7
2008,7,21,31.2,74,5.9,2.9
2008,7,22,32.4,73,12.3,4
2008,7,23,31.9,74,9.7,4.6
2008,7,24,33.7,70,9.1,4
2008,7,25,33.9,70,11.3,3.3
2008,7,26,31.2,74,6.9,2.8
2008,7,27,33.7,74,5.5,2.7
2008,7,28,32.5,67,3,1.7
2008,7,29,33.9,70,6.4,2.6
2008,7,30,30.7,69,6.3,3
2008,7,31,30.1,68,8.8,2.5
2008,8,1,31.1,73,4.1,2.7
2008,8,2,32.3,76,5.8,3.5
2008,8,3,33,75,11,4.8
2008,8,4,34,72,10,3.5
2008,8,5,31.5,81,0.7,2.2
2008,8,6,33.5,72,11.3,2.4
2008,8,7,34.6,70,8.8,3.1
2008,8,8,34.5,72,10.8,3.2
2008,8,9,33.4,72,6.5,2.8
2008,8,10,30.4,70,2.4,2.2
2008,8,11,32.7,75,9.2,2.1
2008,8,12,31.9,72,6.2,2.8
2008,8,13,32.5,72,4.6,4
2008,8,14,33.4,68,8,4.3
2008,8,15,35,66,12.6,4.3
2008,8,16,33.9,70,7.3,3.1
2008,8,17,26.5,84,0,2.9
2008,8,18,29.4,71,7.7,2.7
2008,8,19,34.5,73,7.9,4.4
2008,8,20,32.2,68,10.2,2.3
2008,8,21,30.7,69,7.2,2.6
2008,8,22,25.4,67,2.7,3.5
2008,8,23,22.9,77,0,2.7
2008,8,24,24.2,89,0,3
2008,8,25,23.1,90,0,3.3
2008,8,26,22.7,88,0,3.6
2008,8,27,28.5,77,5.4,2.9
2008,8,28,27.7,88,0.3,2.3
2008,8,29,30,82,5,2.1
2008,8,30,29.1,86,2.2,2.6
2008,8,31,30.4,80,6.5,2.7
2008,9,1,30.8,78,5.7,1.8
2008,9,2,32.1,77,8.5,2.7
2008,9,3,31.9,73,10.9,3.6
2008,9,4,29.8,79,3.1,2.7
2008,9,5,29.6,78,6.4,2.5
2008,9,6,30.8,79,6.4,2.1
2008,9,7,30.9,78,5.9,2.2
2008,9,8,30.2,69,8.2,2.5
2008,9,9,29.3,48,11.3,3.4
