year,month,day,humidity,temp,sun,wind
2008,5,1,51,24.1,2.5,2.3
2008,5,2,53,24.9,0.4,2.1
2008,5,3,52,30.7,12.2,2.5
2008,5,4,58,30.1,9.8,2.4
2008,5,5,67,22.5,0,2.4
2008,5,6,45,25.7,12.4,2
2008,5,7,39,27.3,11.3,2
2008,5,8,41,28.7,6.1,1.9
2008,5,9,45,23.3,0.2,3.4
2008,5,10,75,15.4,0,1.9
2008,5,11,65,18.3,1.7,2.6
2008,5,12,56,20.4,6.2,2.2
2008,5,13,64,23.7,4.1,2
2008,5,14,64,22.3,4.3,2.7
2008,5,15,48,24,12.9,1.8
2008,5,16,45,25.9,10.9,1.9
2008,5,17,44,26.8,10.9,2.1
2008,5,18,47,27.5,8.3,2.2
2008,5,19,65,23.2,0.1,2.8
2008,5,20,62,23.3,6.7,2.8
2008,5,21,49,26.5,12.3,2.1
2008,5,22,55,27.5,9.5,2
2008,5,23,50,29.9,11,1.9
2008,5,24,71,23.2,0,2.3
2008,5,25,74,25.7,0.6,1.5
2008,5,26,58,30.4,10.3,2.4
2008,5,27,45,29.7,12.5,2
2008,5,28,59,28.3,4.9,2.5
2008,5,29,71,23.1,1.7,3
2008,5,30,61,24.7,0,2.8
2008,5,31,69,21.5,0.3,1.9
2008,6,1,50,27.9,10.8,1.9
2008,6,2,70,20.5,0,2.4
2008,6,3,70,22.4,0,2
2008,6,4,60,27.1,4.5,2.7
2008,6,5,75,21.5,0,2.6
2008,6,6,69,25.4,2.3,1.8
2008,6,7,64,26.4,5.2,1.9
2008,6,8,64,28.8,4.6,1.7
2008,6,9,72,26.7,2.9,1.7
2008,6,10,57,29.9,9.9,2
2008,6,11,62,27.5,0.1,1.8
2008,6,12,57,27.8,7.8,2.9
2008,6,13,44,31.3,13.3,2.2
2008,6,14,48,29.4,8.8,2.4
2008,6,15,62,24,0.1,2.2
2008,6,16,59,28.7,4.4,1.9
2008,6,17,52,31.3,11.1,1.7
2008,6,18,55,28.6,1.5,1.6
2008,6,19,74,26.1,0,1.5
2008,6,20,83,25.8,0,1.2
2008,6,21,79,28,0,1.2
2008,6,22,80,27.7,0,1.7
2008,6,23,69,23.8,0,2.1
2008,6,24,64,28.9,6.7,1.8
2008,6,25,65,28.2,1.6,1.8
2008,6,26,63,27.6,2.5,2.5
2008,6,27,60,28.8,2.8,2
2008,6,28,70,27.1,0.3,1.8
2008,6,29,86,26.3,0,1.4
2008,6,30,69,25.1,2.7,3
2008,7,1,60,30.4,8.6,1.8
2008,7,2,61,31.4,5.2,2.4
2008,7,3,67,32.5,1.6,2.1
2008,7,4,62,33,7.3,2
2008,7,5,62,33.9,9.8,2.4
2008,7,6,65,33.6,3.9,1.8
2008,7,7,63,33.1,1.2,1.8
2008,7,8,68,31.1,2.8,2
2008,7,9,65,30.6,5.7,2.5
2008,7,10,65,30.6,4.7,2.2
2008,7,11,64,32.4,2.9,2.1
2008,7,12,60,33.7,5.2,1.8
2008,7,13,56,35,5.7,1.8
2008,7,14,65,35,5.7,1.8
2008,7,15,71,33,3.5,1.9
2008,7,16,66,31.8,1,1.6
2008,7,17,61,35.1,8.6,2.2
2008,7,18,70,33.8,1.7,2.3
2008,7,19,55,35.3,10,1.9
2008,7,20,56,37.4,8.1,1.9
2008,7,21,58,35.9,6.5,2.4
2008,7,22,57,36.4,8,2.7
2008,7,23,55,36.2,9.5,2.2
2008,7,24,54,37.3,11,2.2
2008,7,25,55,37.7,12.4,2.4
2008,7,26,54,37.5,12.4,2.3
2008,7,27,61,36.5,5.3,2.4
2008,7,28,76,34.7,3.1,1.8
2008,7,29,74,31.2,4.3,1.6
2008,7,30,59,34.4,10,2.2
2008,7,31,59,34.6,4.8,1.7
2008,8,1,61,34.9,8.5,1.9
2008,8,2,62,34.5,3.4,2
2008,8,3,59,36.1,10.5,2.7
2008,8,4,61,34.7,3.4,2.1
2008,8,5,61,36.3,7.4,2.1
2008,8,6,66,35.8,7,2.1
2008,8,7,61,34.9,6.7,2.2
2008,8,8,61,34.9,2.8,1.8
2008,8,9,61,36.4,4.9,1.8
2008,8,10,58,35.4,10,1.8
2008,8,11,58,36.2,6.3,1.7
2008,8,12,56,37,11.7,2.1
2008,8,13,57,35.8,9.8,2.3
2008,8,14,62,34.7,4.3,2.3
2008,8,15,55,36.4,8.7,2.1
2008,8,16,62,34.8,4.3,2.2
2008,8,17,57,32.2,7.3,3.2
2008,8,18,56,33.9,5.4,2.2
2008,8,19,62,34.7,3.9,2.8
2008,8,20,63,33.7,6.7,2.3
2008,8,21,59,30.3,5,3.3
2008,8,22,56,31.1,7.6,2
2008,8,23,79,26.3,0,2.3
2008,8,24,67,30.1,3.5,2.5
2008,8,25,73,28.1,3.2,1.6
2008,8,26,74,27.2,0,2.4
2008,8,27,67,30.2,0.7,3.4
2008,8,28,75,29.3,0.4,2
2008,8,29,73,29.7,0.8,1.9
2008,8,30,79,27.4,0,1.8
2008,8,31,62,33.3,7.7,1.8
2008,9,1,62,33.5,5.3,2.7
2008,9,2,70,33.7,1.7,1.6
2008,9,3,68,30.6,1.9,2.4
2008,9,4,68,31.3,3.8,2.3
2008,9,5,72,30.8,1.8,2.1
2008,9,6,65,32.4,5.2,1.7
2008,9,7,66,32.5,7,2.1
2008,9,8,57,30.7,8.5,3
2008,9,9,53,31.1,11.5,1.9
2008,9,10,59,31.3,8.3,1.8
2008,9,11,55,32.4,9.9,1.8
2008,9,12,55,33.5,8,1.8
2008,9,13,63,31.1,4.9,1.7
2008,9,14,55,32,6.5,2
2008,9,15,68,25.7,0,1.5
2008,9,16,67,29.9,6.4,2.1
2008,9,17,61,31,6.7,2.1
2008,9,18,74,26.4,0,2.7
2008,9,19,75,26.8,0,2.5
2008,9,20,67,31.2,6,2.1
2008,9,21,81,25.5,0,1.4
2008,9,22,63,28.3,6.1,2.2
2008,9,23,60,30.4,9,1.9
2008,9,24,50,26.9,9.8,3
2008,9,25,63,25.6,0.6,1.3
2008,9,26,72,24.7,0,2.2
2008,9,27,51,23.7,6.6,2.6
2008,9,28,65,19.8,0,1.2
2008,9,29,85,15.9,0,1
2008,9,30,86,20.2,0,0.8
2009,5,1,42,24.8,11.1,1.8
2009,5,2,49,25.3,11.3,2.4
2009,5,3,51,23.5,3.9,2
2009,5,4,56,22.1,0,1.8
2009,5,5,67,21.2,0.4,1.7
2009,5,6,74,21,0.6,1.4
2009,5,7,85,17.1,0,1.4
2009,5,8,72,19.8,1.6,2.1
2009,5,9,55,29,11.9,1.7
2009,5,10,51,29.6,9.7,1.8
2009,5,11,47,30.8,11.7,1.9
2009,5,12,55,29.8,9.5,2.6
2009,5,13,55,23.6,8.7,3.1
2009,5,14,39,24.9,12.9,3
2009,5,15,47,23,10.4,1.9
2009,5,16,71,19.7,0,1.9
2009,5,17,80,21.2,0,1.6
2009,5,18,48,26.1,10.3,2.4
2009,5,19,54,25.1,4.4,1.5
2009,5,20,46,31,10.5,1.6
2009,5,21,52,26.3,0,2.1
2009,5,22,71,21.7,0,1.9
2009,5,23,59,26.5,8.6,2
2009,5,24,61,24.8,1.8,2.8
2009,5,25,61,22.5,4.7,3.2
2009,5,26,55,28.2,7.9,1.4
2009,5,27,54,26.3,3.9,2.7
2009,5,28,61,22.7,0.2,2.7
2009,5,29,55,28.5,8.3,2.6
2009,5,30,66,27.4,1.7,2.8
2009,5,31,64,23.9,6.8,2.9
2009,6,1,44,27.4,11.4,2.3
2009,6,2,36,29.7,12,2.1
2009,6,3,48,26,0,2.3
2009,6,4,59,25,0.3,2.1
2009,6,5,72,20.9,0,2.1
2009,6,6,63,27.8,6,2.7
2009,6,7,64,24.1,2.1,3.2
2009,6,8,61,27.2,5.3,1.9
2009,6,9,63,25.7,0.4,1.5
2009,6,10,77,23.8,0,1.6
2009,6,11,69,26.7,2.2,2.1
2009,6,12,52,29.4,9.3,2.3
2009,6,13,57,29.2,4.4,2
2009,6,14,56,29.4,7.9,2.5
2009,6,15,54,30.4,9.6,2.1
2009,6,16,59,29.7,8,2.3
2009,6,17,54,29.6,9.8,2.2
2009,6,18,59,30.2,5,2.1
2009,6,19,56,32.9,10.2,2.2
2009,6,20,62,29,4,3.3
2009,6,21,74,30,1.9,1.6
2009,6,22,76,30.3,0.5,2.2
2009,6,23,62,31.5,6,2.8
2009,6,24,60,31.8,5,1.9
2009,6,25,53,33.3,8,2
2009,6,26,55,32.2,9,2
2009,6,27,52,32.2,8.3,1.9
2009,6,28,55,32.8,6.8,2.1
2009,6,29,72,28.9,1.2,2.1
2009,6,30,80,28.7,0,1.6
2009,7,1,73,32.3,3.2,2.7
2009,7,2,67,28.3,1.1,2.7
2009,7,3,68,28.7,2.4,2
2009,7,4,65,29.3,6.2,2
2009,7,5,65,29.8,0.8,1.9
2009,7,6,73,30.3,1.3,1.7
2009,7,7,69,29.7,3.4,2.2
2009,7,8,71,30,1.4,2.6
2009,7,9,69,32,0.9,3.6
2009,7,10,71,28.3,0.2,3.3
2009,7,11,61,31.5,4.3,1.7
2009,7,12,60,33.6,4.7,2.1
2009,7,13,65,33.2,3,3.3
2009,7,14,60,35.3,8.6,2.1
2009,7,15,54,34.2,9.1,3.9
2009,7,16,61,32.6,3.4,1.8
2009,7,17,73,28.8,0,2
2009,7,18,67,33.7,1.4,2.1
2009,7,19,72,32.9,1.4,2.2
2009,7,20,78,29.4,0.2,1.5
2009,7,21,83,27.5,0,1.7
2009,7,22,79,30.3,0.9,1.6
2009,7,23,66,32.9,7.3,2.1
2009,7,24,61,32.8,3.7,2
2009,7,25,76,30.6,0.7,1.9
2009,7,26,74,32.2,3,1.9
2009,7,27,78,30,1.6,1.7
2009,7,28,75,28.9,0,1.8
2009,7,29,68,33,0.8,2
2009,7,30,65,30.9,5,2.9
2009,7,31,67,31.8,5.2,2.1
2009,8,1,74,29.8,1.3,2.2
2009,8,2,73,31.9,4.2,1.7
2009,8,3,63,34.5,10.8,2
2009,8,4,60,35.1,8.9,2.1
2009,8,5,66,33.2,4.8,2.6
2009,8,6,71,32,0,2
2009,8,7,66,33.6,0.9,1.5
2009,8,8,59,36.5,11.7,2.6
2009,8,9,75,28.7,0,3
2009,8,10,77,29.3,0,2.1
2009,8,11,70,32.3,4.6,2.4
2009,8,12,63,35.9,9.4,2
2009,8,13,69,35.1,2.4,2.3
2009,8,14,62,31.6,10.2,3.2
2009,8,15,60,31.6,4.8,1.5
2009,8,16,56,32.7,1,2
