year,month,day,humidity,temp,sun,wind
2008,5,1,75,22.2,8.2,2.1
2008,5,2,83,21.2,8.2,3.1
2008,5,3,88,22.1,8.7,2.4
2008,5,4,93,19.9,0.3,2.1
2008,5,5,93,16.8,0,2.2
2008,5,6,38,22.7,12.8,4.9
2008,5,7,30,26.1,10.6,4.5
2008,5,8,50,17.8,0.1,2.6
2008,5,9,50,21.3,7.4,4.5
2008,5,10,78,12.9,0.3,2.8
2008,5,11,88,10.6,0,2
2008,5,12,71,14.1,9.4,2.9
2008,5,13,75,13.6,0,4.1
2008,5,14,86,13.2,0,2
2008,5,15,69,20.8,5.3,2.2
2008,5,16,68,19.3,9.7,2.5
2008,5,17,80,21.2,7.6,3
2008,5,18,80,19.3,11.2,2.9
2008,5,19,91,18.2,0.2,4.9
2008,5,20,77,22.3,1.6,5.8
2008,5,21,57,23.3,9.1,3.1
2008,5,22,72,23.6,10.3,2
2008,5,23,59,24.1,9.4,2.6
2008,5,24,86,20.6,2.7,1.8
2008,5,25,80,23.4,0.2,3.8
2008,5,26,68,26.3,7.9,3
2008,5,27,54,21.8,10.7,4.8
2008,5,28,76,16.1,0.4,2.7
2008,5,29,94,11.7,0,2
2008,5,30,86,12.5,0,2.9
2008,5,31,93,13.1,0,2.4
2008,6,1,86,18.8,4.3,2.3
2008,6,2,84,20,7.2,2.5
2008,6,3,89,17.4,0,1.5
2008,6,4,85,18.8,1.4,2.7
2008,6,5,89,18.6,2.1,4.6
2008,6,6,81,24.9,3.1,3.1
2008,6,7,74,22.7,7.1,2.4
2008,6,8,78,24.8,8.5,2.3
2008,6,9,78,26.5,7.6,2.1
2008,6,10,70,27.2,13.6,2.7
2008,6,11,73,25.5,5.1,2
2008,6,12,61,22.4,6.3,2.7
2008,6,13,49,28.3,11.4,3.2
2008,6,14,54,22.9,9.1,5.1
2008,6,15,63,23.1,13.6,2.9
2008,6,16,73,23,2.8,1.9
2008,6,17,72,22,13.5,4
2008,6,18,79,21.7,9.1,2.7
2008,6,19,87,21.7,0.3,1.8
2008,6,20,84,27.9,8,1.8
2008,6,21,89,28.1,3.5,2
2008,6,22,90,21.1,0,2
2008,6,23,79,22.2,0,4.1
2008,6,24,79,23,0.9,2.5
2008,6,25,87,17.3,0,3
2008,6,26,76,20,3.3,3.4
2008,6,27,73,26.1,9.2,2.1
2008,6,28,81,25,8.3,2.4
2008,6,29,92,21.1,0,2.8
2008,6,30,82,23.6,5.5,3.1
2008,7,1,76,23.4,11.9,2.6
2008,7,2,82,23.9,8.4,2.7
2008,7,3,88,25,2.4,1.7
2008,7,4,86,26.7,4,1.6
2008,7,5,81,29.7,9.1,1.7
2008,7,6,84,30.3,9.3,1.8
2008,7,7,90,26.8,0.5,2
2008,7,8,94,21.7,0,3
2008,7,9,83,24.6,1,3.5
2008,7,10,84,24,1.4,2.3
2008,7,11,93,23.7,0.1,1.8
2008,7,12,79,30.4,8.9,2.5
2008,7,13,81,27.9,12.1,2.6
2008,7,14,80,30.7,2.7,2.5
2008,7,15,73,28.3,11.8,3.5
2008,7,16,82,25,0.4,1.9
2008,7,17,89,27.6,0.5,1.7
2008,7,18,93,27.2,0,1.3
2008,7,19,84,30.2,4.7,2.3
2008,7,20,89,24,0,2.7
2008,7,21,95,22.1,0,3.4
2008,7,22,92,27.6,1.6,1.4
2008,7,23,88,29.6,2.4,1.7
2008,7,24,90,29.4,0.3,1.7
2008,7,25,93,23.9,0,1.8
2008,7,26,90,25.5,0.3,2.2
2008,7,27,95,23.9,0,2.8
2008,7,28,91,28.8,3.2,1.8
2008,7,29,74,28.8,5.1,2.1
2008,7,30,85,24.1,0.1,3.1
2008,7,31,80,24.4,0,1.9
2008,8,1,84,25.8,0.1,2.4
2008,8,2,86,28.3,2.5,1.7
2008,8,3,83,32,8,2.3
2008,8,4,87,31.9,4,2
2008,8,5,84,27.8,0.7,2.2
2008,8,6,91,29.9,5,1.7
2008,8,7,76,33.6,12.9,2.2
2008,8,8,70,31.3,12.4,2.3
2008,8,9,75,27.1,6,3.4
2008,8,10,78,26,2.6,3.1
2008,8,11,79,27.3,4.1,4.2
2008,8,12,78,27.8,2.4,4.5
2008,8,13,85,28,0.4,1.7
2008,8,14,92,27.7,0.5,1.7
2008,8,15,83,30.7,5.6,1.9
2008,8,16,93,25.6,0,1.6
2008,8,17,92,22,0,1.6
2008,8,18,83,26,4,2.6
2008,8,19,87,27.6,1.4,3
2008,8,20,73,32.1,8.5,3
2008,8,21,93,20.7,0,3.7
2008,8,22,83,18.9,0,2.3
2008,8,23,88,19,0,2.1
2008,8,24,97,21.1,0,2.9
2008,8,25,96,20.8,0,3
2008,8,26,84,24.8,1.7,2.5
2008,8,27,83,26.7,5.7,2.5
2008,8,28,92,27,0.4,1.9
2008,8,29,94,26.9,1.7,1.9
2008,8,30,93,27.5,0.9,1.7
2008,8,31,94,26.1,0.5,3.8
2008,9,1,90,27.3,1.4,2.5
2008,9,2,97,24,0,1.2
2008,9,3,92,28.9,3.9,1.7
2008,9,4,84,24.9,0.3,2.4
2008,9,5,89,24.5,0.2,1.3
2008,9,6,91,27.6,1.4,1.9
2008,9,7,94,27.8,0.3,1.5
