year,month,day,temp,humidity,sun,wind
2008,5,1,23.8,56,2.1,2
2008,5,2,24.2,61,0.8,4.2
2008,5,3,28.9,53,12.2,2.2
2008,5,4,27.5,65,10.4,2.4
2008,5,5,23.4,70,0,2.4
2008,5,6,25.1,43,12.3,2.1
2008,5,7,26.5,41,11.6,2.2
2008,5,8,27.3,40,8.3,2.1
2008,5,9,23.2,46,0.4,2.7
2008,5,10,15.7,81,0,2.7
2008,5,11,19.3,67,2.9,2.6
2008,5,12,21.2,58,4.5,4
2008,5,13,24.1,67,3.5,2.5
2008,5,14,21.2,65,9,3.1
2008,5,15,23.6,46,12.9,1.9
2008,5,16,26.3,50,12.4,2.3
2008,5,17,26.1,51,9.4,2.1
2008,5,18,27.6,54,8.8,2.3
2008,5,19,24.2,64,0.6,2.2
2008,5,20,22.3,65,4.7,3.2
2008,5,21,25.8,50,12.3,2.1
2008,5,22,26.5,60,9.2,2.5
2008,5,23,28.4,60,11.1,2.4
2008,5,24,22.8,79,0,2.1
2008,5,25,25.4,81,1.7,1.7
2008,5,26,28.8,61,9,2.8
2008,5,27,29.6,42,12.7,1.9
2008,5,28,28.6,59,7.2,2.2
2008,5,29,25.3,75,4.8,4.1
2008,5,30,26.2,59,2.4,3.6
2008,5,31,21.6,72,0.1,2.1
2008,6,1,28.3,58,10.5,2
2008,6,2,21.5,75,0,3.4
2008,6,3,22.3,76,1,2.7
2008,6,4,26.7,61,2.6,2.1
2008,6,5,24.5,77,1.5,3
2008,6,6,25.8,67,9,2.7
2008,6,7,26.1,67,4.9,1.8
2008,6,8,28.6,67,5.3,2.3
2008,6,9,27,68,2.5,1.7
2008,6,10,28.9,65,8.6,2.2
2008,6,11,27.3,71,0,2.2
2008,6,12,28.3,59,8,2.4
2008,6,13,29.9,44,13.6,2.2
2008,6,14,29.5,52,6.1,2.2
2008,6,15,24.2,65,0,2.3
2008,6,16,29.7,66,9.4,3.1
2008,6,17,30.4,58,9.2,
2008,6,18,28.6,63,0.3,1.9
2008,6,19,27.8,75,0,1.6
2008,6,20,29.7,84,1,1.8
2008,6,21,30,78,1.9,1.7
2008,6,22,27.5,86,0.2,1.7
2008,6,23,22.5,77,0,2.1
2008,6,24,28,70,4.2,1.9
2008,6,25,28.1,67,1,1.9
2008,6,26,27.9,63,1.4,2.3
2008,6,27,29.1,62,2,2.1
2008,6,28,27.3,75,0.6,1.5
2008,6,29,27.6,84,0,2.4
2008,6,30,27.8,65,6.1,3.2
2008,7,1,29.3,64,8.4,2.5
2008,7,2,30.9,66,6.1,2.2
2008,7,3,33.9,67,7.4,2.6
2008,7,4,32.8,64,11.6,3.6
2008,7,5,32.1,67,9.4,2.7
2008,7,6,33.8,64,4.6,1.9
2008,7,7,32.6,70,2.6,2.4
2008,7,8,29,77,2.4,2.1
2008,7,9,30.7,74,2.8,2.1
