year,month,day,temp,humidity,sun,wind
2008,5,1,27.6,67,5.7,2.5
2008,5,2,23.6,78,0,2.1
2008,5,3,24.4,85,0.9,1.9
2008,5,4,25.1,78,8.4,2.5
2008,5,5,20.1,85,0,2
2008,5,6,26.5,36,12.6,3.9
2008,5,7,29.4,45,11.3,2.2
2008,5,8,25.2,43,9.8,2.5
2008,5,9,25.8,43,6.8,2.9
2008,5,10,15.9,82,0,1.9
2008,5,11,14.9,82,0.1,1.7
2008,5,12,16,69,0.1,2.2
2008,5,13,15.1,74,0,2.2
2008,5,14,16.1,88,0.1,1.4
2008,5,15,23.7,65,12.6,2.3
2008,5,16,24.8,66,7,2.4
2008,5,17,25.4,69,6,2.3
2008,5,18,23.6,71,0.6,2.6
2008,5,19,25.2,78,3.4,4.1
2008,5,20,27.9,66,3.4,4.4
2008,5,21,26.9,51,12.8,2.9
2008,5,22,28.2,66,9.3,2.1
2008,5,23,31.6,57,10.8,2.2
2008,5,24,28.1,74,2.1,2.6
2008,5,25,27.7,78,1.6,2.4
2008,5,26,29.9,66,11.8,2.9
2008,5,27,29.4,41,13.3,4.1
2008,5,28,27.4,63,6.7,3.2
2008,5,29,16.3,92,0,2.8
2008,5,30,15.4,92,0,1.7
2008,5,31,14.7,92,0,1.4
2008,6,1,26.6,69,12.4,2.3
2008,6,2,21.9,76,0.3,2.5
2008,6,3,16.9,94,0,1.9
2008,6,4,23.5,78,1.1,2
2008,6,5,19.7,87,0,1.4
2008,6,6,28.8,78,6.6,2.3
2008,6,7,27.4,65,5,2.4
2008,6,8,26.1,70,1.7,1.4
2008,6,9,25.3,84,1.5,1.6
2008,6,10,29.4,64,12.9,2.5
2008,6,11,27.9,71,4.6,1.4
2008,6,12,23,87,1.9,1.8
2008,6,13,29.4,63,9.9,1.9
2008,6,14,31.4,52,8.6,3.3
2008,6,15,27.2,62,5.6,2.8
2008,6,16,29.7,63,9.1,2.1
2008,6,17,28,66,10,3.1
2008,6,18,28.8,65,8,2.3
2008,6,19,27.3,75,0,1.5
2008,6,20,27.3,80,0.3,2
2008,6,21,28.2,87,0.9,1.8
2008,6,22,23.6,93,0,2.1
2008,6,23,26,84,0.4,2.1
2008,6,24,30.8,72,10.6,2.4
2008,6,25,25,79,0.2,2.7
2008,6,26,18.4,89,0,2.1
2008,6,27,26.8,76,3.1,1.9
2008,6,28,27.8,75,1.4,2.2
2008,6,29,22,94,0,2.1
2008,6,30,25.7,74,1.5,1.9
2008,7,1,27.9,73,7.4,2.5
2008,7,2,30.6,71,8.7,2.5
2008,7,3,28.8,78,1.3,1.9
2008,7,4,33.5,79,6,2.4
2008,7,5,34.2,71,9.9,1.9
2008,7,6,33.1,78,4,1.9
2008,7,7,26.4,86,0,2
2008,7,8,30.3,80,3.1,2.2
2008,7,9,26.4,79,0,2.3
2008,7,10,27.5,77,0.4,1.4
2008,7,11,32.4,74,5.1,1.9
2008,7,12,35.8,66,12.2,2
2008,7,13,34.7,68,8.3,2.2
2008,7,14,32,73,2.5,1.5
2008,7,15,33.7,65,9.3,3.1
2008,7,16,34.8,70,7.9,2.3
2008,7,17,34.3,74,5.6,2.2
2008,7,18,30.8,83,0.2,1.5
2008,7,19,35.5,64,11.7,2.7
2008,7,20,34.5,67,6.9,3.1
2008,7,21,30.1,78,0,2.3
2008,7,22,34.8,72,5.9,2.4
2008,7,23,35.9,71,6.6,2.5
2008,7,24,36.1,69,7.4,2.5
2008,7,25,36.2,79,7.5,2.3
2008,7,26,31.2,82,1.2,2.3
2008,7,27,31.3,86,1,2.1
2008,7,28,29.9,78,4.4,1.3
2008,7,29,34.3,69,5.1,2.5
2008,7,30,31.3,71,6,2.6
2008,7,31,31,71,4.3,2.7
2008,8,1,33.2,72,6.7,2.2
2008,8,2,34.6,71,6.1,2.1
2008,8,3,36.8,72,7.1,2.2
2008,8,4,35.9,78,4.6,1.9
2008,8,5,32,86,1.5,2.4
2008,8,6,32.5,79,1.6,1.8
2008,8,7,37,69,11.9,1.9
2008,8,8,37.3,68,11.5,2
2008,8,9,34.4,69,8.1,3
2008,8,10,30.2,68,1.8,2.4
2008,8,11,33.5,70,6.6,2.5
2008,8,12,33.9,71,6.9,2.6
2008,8,13,35.4,72,7.7,2.3
2008,8,14,35.2,72,5.4,2
2008,8,15,36.9,66,8.8,2.2
2008,8,16,35.1,78,4,2.5
2008,8,17,24.8,92,0,2.3
2008,8,18,28.2,76,2.5,1.7
2008,8,19,30.5,82,2.6,1.8
2008,8,20,33,74,9.2,2.2
2008,8,21,31,74,5.5,1.8
2008,8,22,25.8,71,0.9,2.8
2008,8,23,19.8,89,0,1.4
2008,8,24,21.1,96,0,1.5
2008,8,25,22.4,95,0,1.4
2008,8,26,22.3,94,0,1.3
2008,8,27,28.9,78,6.6,1.3
2008,8,28,27.2,91,0.2,1.5
2008,8,29,30.8,86,2.5,1.4
2008,8,30,29,85,0.9,1.4
2008,8,31,30.8,81,1.6,2
2008,9,1,31.2,82,1.9,1.6
2008,9,2,33.1,79,6.8,2.3
2008,9,3,34.5,73,7.6,1.8
2008,9,4,30.1,84,0.2,1.8
2008,9,5,30.6,80,4.3,1.9
2008,9,6,31.6,82,1.8,2.1
2008,9,7,33,82,6.4,1.7
2008,9,8,31.6,63,9.4,2.9
2008,9,9,30.7,54,11.9,3.1
2008,9,10,29.4,65,11.4,2.2
2008,9,11,27.5,67,5.6,1.8
2008,9,12,33.6,56,10.8,2.1
2008,9,13,31.3,65,5.3,2
2008,9,14,31.2,71,7.2,2.3
2008,9,15,26.5,81,0.4,1.5
2008,9,16,28.6,79,5.5,1.8
2008,9,17,30.6,74,9.4,2.3
2008,9,18,23.9,90,0,1.2
2008,9,19,24.8,89,0,1
2008,9,20,31.1,76,7,2.8
2008,9,21,24,89,0,1.6
2008,9,22,24.5,88,0.3,1.6
2008,9,23,29.1,71,9,1.6
2008,9,24,28.2,44,10.8,3.9
2008,9,25,25.7,66,2.6,1.4
2008,9,26,25.3,72,0.1,2.8
2008,9,27,23.6,45,7,3.9
2008,9,28,18.1,65,0,1.6
2008,9,29,16.5,86,0,1.3
2008,9,30,19.7,87,0,1.3
2009,5,1,27.3,42,12,2.3
2009,5,2,27.8,48,11.9,2.5
2009,5,3,25,62,3.8,1.6
2009,5,4,24.8,65,1.9,2.1
2009,5,5,20.8,81,0,1.6
2009,5,6,16.9,91,0,2
2009,5,7,18.1,87,0,1.7
2009,5,8,20.5,82,0.5,2.7
2009,5,9,28.6,61,10,2.9
2009,5,10,32.7,62,10.8,1.9
2009,5,11,26.3,67,3.5,2.3
2009,5,12,24.7,77,0.8,1.4
2009,5,13,27.1,42,10.5,3.4
2009,5,14,26,30,12.9,4.4
2009,5,15,23,40,13.3,3.7
2009,5,16,18.6,65,0,1.4
2009,5,17,20.8,84,0.6,1.6
2009,5,18,29.4,51,11.9,3.3
2009,5,19,26.2,64,5.1,1.9
2009,5,20,33.3,46,12.4,2.4
2009,5,21,31.2,52,8,2.4
2009,5,22,28.3,62,4.5,3.4
2009,5,23,30.3,63,7.5,2.4
2009,5,24,22.1,77,0.6,1.8
2009,5,25,25.5,67,7,1.7
2009,5,26,28.7,60,11.7,2.6
2009,5,27,25.5,64,1.6,2.2
2009,5,28,20.2,76,0,2.5
2009,5,29,20,89,0,1.8
2009,5,30,21.6,89,0,1.5
2009,5,31,21.6,89,0,1.7
2009,6,1,24.8,61,6.3,1.9
2009,6,2,27.7,64,9.2,2.4
2009,6,3,24.3,75,0,1.8
2009,6,4,25,75,2.4,2.1
2009,6,5,22.1,83,0,1.7
2009,6,6,26.1,79,1.2,1.7
2009,6,7,30.3,66,11.2,2.6
2009,6,8,19.8,82,0,2.1
2009,6,9,25.6,75,0.5,1.7
2009,6,10,25.4,77,0,1.7
2009,6,11,28.1,75,4.2,2
2009,6,12,29.3,56,9.4,2.4
2009,6,13,27.8,69,3.4,2
2009,6,14,27.1,77,3.4,2.2
2009,6,15,25.8,82,2.8,2.1
2009,6,16,22.9,85,0,1.5
2009,6,17,27,75,6,2.5
2009,6,18,21.8,87,0.1,1.4
2009,6,19,27.6,77,8.9,2.6
2009,6,20,27.1,77,1.2,1.9
2009,6,21,25.4,89,0.4,1.4
2009,6,22,24.4,92,0,1.9
2009,6,23,33.7,76,6.6,2
2009,6,24,28,76,4.7,1.7
2009,6,25,29.6,69,5,1.9
2009,6,26,34,58,7.6,2.3
2009,6,27,34.5,60,9.4,2.1
2009,6,28,26.5,78,0,2.1
2009,6,29,31.5,63,6.7,3.4
2009,6,30,25.7,83,0.2,1.9
2009,7,1,24.3,89,0,1.7
2009,7,2,22.9,91,0,1.8
2009,7,3,24.8,85,0,1.6
2009,7,4,28.8,79,3.5,2.1
2009,7,5,28.2,78,3,1.8
2009,7,6,25.7,88,0,1.2
2009,7,7,33.1,70,5.3,1.9
2009,7,8,28.4,85,0.5,1.4
2009,7,9,29.3,84,0.4,1
2009,7,10,32.7,72,2.6,1.9
2009,7,11,27.4,64,1.6,1.9
2009,7,12,29.3,71,1,1.2
2009,7,13,35.3,65,5.8,2
2009,7,14,33.5,60,7.9,2.7
2009,7,15,36.8,60,12,1.8
2009,7,16,34.9,58,11.2,2.6
2009,7,17,30.5,74,5.5,1.8
2009,7,18,31.9,76,1,1.4
2009,7,19,32,74,1.2,1.5
2009,7,20,31.7,64,3.5,2.6
2009,7,21,24.6,78,0,1.4
2009,7,22,26.6,83,0.2,1.4
2009,7,23,28.8,90,0.4,2.1
2009,7,24,29.3,88,1.7,3.6
2009,7,25,33.3,79,3.4,1.8
2009,7,26,35.5,76,7.7,1.9
2009,7,27,32.6,84,1.2,1.7
2009,7,28,28.4,85,0,1.6
2009,7,29,32.9,80,2.2,2.5
2009,7,30,33.2,80,2.9,2
2009,7,31,25.8,86,0,1.7
2009,8,1,27.6,81,0.2,1.8
2009,8,2,24,90,0,1.2
2009,8,3,31.3,80,4.8,1.7
2009,8,4,31.4,77,4.7,1.6
2009,8,5,33.4,75,5,2.4
2009,8,6,30.9,83,0.3,2.3
2009,8,7,33.2,85,1.1,1.8
2009,8,8,28.4,88,0.1,1.6
2009,8,9,28.9,88,0.1,1.8
2009,8,10,27.6,92,0,2
2009,8,11,31.3,81,2.8,2
2009,8,12,33.4,72,10,2.4
2009,8,13,33.3,76,6.8,1.7
2009,8,14,35.6,60,9.3,3.3
2009,8,15,33,65,10.3,2.2
2009,8,16,34.4,63,10.2,1.7
2009,8,17,31.5,71,7.2,2.2
2009,8,18,31.8,69,2.1,1.8
2009,8,19,31.3,70,5.5,1.8
2009,8,20,33.5,69,6,2
2009,8,21,29.2,75,0.1,1.1
2009,8,22,33.6,75,5.8,2.2
2009,8,23,30.5,68,4.3,1.6
2009,8,24,31.9,65,7.2,2.3
2009,8,25,28.9,62,7.1,2.4
2009,8,26,28.8,65,4,2.4
2009,8,27,30.8,67,9.7,2
2009,8,28,33.5,66,9.7,1.9
2009,8,29,33.3,68,8,2
2009,8,30,28.2,78,1,2.3
2009,8,31,21.3,94,0,1.6
2009,9,1,31,78,5.2,2.4
2009,9,2,24.5,77,0,1.9
2009,9,3,24.9,72,0.1,1.5
2009,9,4,23.9,80,0,1.3
2009,9,5,30.2,73,11,1.8
2009,9,6,30.2,66,8,2
2009,9,7,30.7,69,11.4,2
2009,9,8,32.3,70,10.3,2.2
2009,9,9,26.7,67,1.4,2.4
2009,9,10,29.3,44,11.1,3.2
2009,9,11,29.4,52,6.1,2.3
2009,9,12,21.2,84,0,1.4
2009,9,13,30.3,63,9.3,2.1
2009,9,14,28.1,60,9,2.5
2009,9,15,24.4,73,1,1.4
2009,9,16,30.6,56,8.6,2.5
2009,9,17,27.6,55,11.1,2.3
2009,9,18,26.1,67,5.2,1.6
2009,9,19,25.6,61,0.4,1.9
2009,9,20,29.2,48,11,3.7
2009,9,21,22.5,69,0.1,1.3
2009,9,22,25.8,69,1.1,1.2
2009,9,23,27.3,66,0.8,1.5
2009,9,24,28.9,66,10.7,1.7
2009,9,25,30,67,11,1.9
2009,9,26,29.5,64,6.3,1.9
2009,9,27,24.5,70,0,2.4
2009,9,28,25.6,71,0.2,1.8
2009,9,29,24.1,82,0,1.8
2009,9,30,20.9,85,0,1.9
2010,5,1,21.9,44,12.5,2.7
2010,5,2,24.2,46,11.7,2.4
2010,5,3,26.3,51,10.2,2.3
2010,5,4,29.3,56,8.8,2.3
2010,5,5,30.4,59,9.8,2.1
2010,5,6,32,61,10,3.4
2010,5,7,20.1,82,0,1.5
2010,5,8,28.3,47,9.9,3.7
2010,5,9,27.4,44,11.2,3.2
