year,month,day,temp,humidity,sun,wind
2008,5,1,24.3,61,7.9,4.4
2008,5,2,22.3,74,0,2.4
2008,5,3,21.3,85,0.7,2.8
2008,5,4,21,80,0,2.5
2008,5,5,21.2,77,0.4,3.1
2008,5,6,25.5,30,12.2,5.4
2008,5,7,26.5,45,11.4,2.7
2008,5,8,23.5,35,6.8,3
2008,5,9,23.1,37,1.7,3
2008,5,10,17.2,72,0,2.9
2008,5,11,14.2,71,0,2.9
2008,5,12,15,61,0,3.1
2008,5,13,13.5,76,0,3.4
2008,5,14,15,78,0.2,1.9
2008,5,15,21.9,67,11.3,2.5
2008,5,16,22.6,61,8.1,2.4
2008,5,17,22.9,66,6.5,2.4
2008,5,18,23.2,64,8.7,3
2008,5,19,23.6,73,1.8,3.5
2008,5,20,24.1,70,0,3.8
2008,5,21,24.7,46,11,3.2
2008,5,22,27,60,8.5,2.9
2008,5,23,29,56,10.5,2.7
2008,5,24,25.9,71,4.3,3.2
2008,5,25,23.4,86,0.1,1.7
2008,5,26,27.1,69,7,3.3
2008,5,27,28.8,46,13.1,3.8
2008,5,28,26.5,61,4.7,2.9
2008,5,29,17.5,84,0,2.9
2008,5,30,17.1,83,0,3.1
2008,5,31,14.4,85,0,2.7
2008,6,1,23.5,66,10.7,2.7
2008,6,2,21.9,72,0,2.8
2008,6,3,16.5,87,0,2.8
2008,6,4,22.4,71,2.3,2.5
2008,6,5,21.1,80,0,2
2008,6,6,27.6,71,7.4,2.8
2008,6,7,26.2,60,5.6,3
2008,6,8,24.2,73,0.3,1.8
2008,6,9,22.9,82,0.1,2
2008,6,10,27,68,12.5,2.8
2008,6,11,26.5,73,2,2
2008,6,12,21.8,74,1.5,2.4
2008,6,13,26.7,63,13.1,2.6
2008,6,14,29.1,53,10.9,3.3
2008,6,15,24.3,57,6.9,3.2
2008,6,16,26.7,63,6.2,2.5
2008,6,17,26,68,1.4,2.7
2008,6,18,25.8,68,2.4,2.8
2008,6,19,27.6,69,0.9,3.8
2008,6,20,24.3,83,0,3.4
2008,6,21,25.9,84,0,2.2
2008,6,22,23.3,89,0,2.5
2008,6,23,24.9,78,0.3,2.2
2008,6,24,27.7,70,10.2,3.5
2008,6,25,25.1,71,1.5,2.8
2008,6,26,19.1,78,0,2.6
2008,6,27,25.3,68,8.1,2.2
2008,6,28,26.1,70,0.6,2.7
2008,6,29,22.5,88,0,2.9
2008,6,30,24.7,72,2,2.2
2008,7,1,25.5,71,7.8,2.7
2008,7,2,26.9,70,8.3,3.1
2008,7,3,27.3,75,1.4,5
2008,7,4,31.6,77,8.7,3.7
2008,7,5,31.4,72,8,2.3
2008,7,6,30.7,76,4.2,2.5
2008,7,7,26.9,81,0,2.1
2008,7,8,26.5,80,0.3,3
2008,7,9,26.1,68,1.2,2.5
2008,7,10,27.8,70,2.5,2.3
2008,7,11,29.4,71,5.5,3.1
2008,7,12,33.8,67,10.6,2.1
2008,7,13,32.7,65,9.6,2.4
2008,7,14,32.7,69,4.7,1.9
2008,7,15,31.4,66,4.6,3.4
2008,7,16,31.7,74,6.3,2.6
2008,7,17,31.7,74,5.1,2.4
2008,7,18,32.1,75,1.4,2.4
2008,7,19,33.8,63,8.3,2.4
2008,7,20,32.1,68,8.6,3
2008,7,21,30.3,72,1.6,3.1
2008,7,22,32.4,72,8.1,4
2008,7,23,32.4,73,6.9,4.2
2008,7,24,33.1,72,6.4,3.3
2008,7,25,34.5,71,10.6,3.2
2008,7,26,31.7,74,3.1,2.1
2008,7,27,32.9,74,1.6,2.2
2008,7,28,33.4,59,4.8,1.8
2008,7,29,33,63,7.4,2.7
2008,7,30,31.6,65,5.5,2.7
2008,7,31,30.7,66,5.3,2.7
2008,8,1,31.5,69,3.5,2.7
2008,8,2,31.7,74,5.9,3.1
2008,8,3,32.7,74,8.4,3.9
2008,8,4,34.5,70,4.4,2.7
2008,8,5,30.6,84,0,2.4
2008,8,6,34.3,66,7.9,2.6
2008,8,7,34.2,66,10.7,3.3
2008,8,8,35.3,66,9.8,2.6
2008,8,9,33,66,3.7,2.6
2008,8,10,29.2,70,0.6,2.4
2008,8,11,32.5,73,5.8,2.4
2008,8,12,32.9,69,3.2,3
2008,8,13,32.2,72,4,3.7
2008,8,14,34.5,66,7.3,2.7
2008,8,15,34.9,64,11.7,2.9
2008,8,16,34.1,74,5.5,2.7
2008,8,17,25.5,84,0,2.6
2008,8,18,29.7,69,5,2.8
2008,8,19,34.8,71,7.2,3.4
2008,8,20,32.4,70,5.6,2.5
2008,8,21,31.1,68,4,2.5
2008,8,22,25.3,65,1.6,3.2
2008,8,23,22.8,78,0,1.9
2008,8,24,23.6,90,0,1.9
2008,8,25,25.4,88,0,2.2
2008,8,26,24.2,86,0,2.4
2008,8,27,29.1,73,4.9,2.1
2008,8,28,29.2,86,0.2,1.9
2008,8,29,30.4,82,2.7,2.2
2008,8,30,29.1,85,2.7,2.2
2008,8,31,30.4,81,3.7,2.1
2008,9,1,30.8,76,4.4,2.4
2008,9,2,31.8,74,5.8,3.1
2008,9,3,32.3,68,9.7,3.8
2008,9,4,30.5,73,1.3,2.6
2008,9,5,29.7,74,4.6,2.7
2008,9,6,30.6,75,3.5,1.9
2008,9,7,31.1,75,3.4,1.8
2008,9,8,31.4,64,8.2,2.3
2008,9,9,30,46,11.9,3
2008,9,10,28.7,59,10.5,2.7
2008,9,11,26.6,71,4,3
2008,9,12,31.3,63,10.8,2.5
2008,9,13,31.5,66,6.2,2.1
2008,9,14,29.2,70,4.1,2.5
2008,9,15,26.6,74,0.3,2.2
2008,9,16,26.9,77,3.9,2.1
2008,9,17,29.1,68,5.3,2.2
2008,9,18,25.6,74,0,1.7
2008,9,19,26.3,80,0,1.7
2008,9,20,29.1,74,2.7,2.9
2008,9,21,25.2,84,0.2,1.9
2008,9,22,22.8,84,0,2.4
2008,9,23,28,73,4.7,2
2008,9,24,28.1,52,9.7,3.3
2008,9,25,28.9,63,5.3,3.1
2008,9,26,29.7,60,0.8,4.4
2008,9,27,22.8,37,2.8,3.7
2008,9,28,19.6,53,0,2.3
2008,9,29,17.9,78,0,2.3
2008,9,30,18.8,88,0,1.6
2009,5,1,23.8,42,11.6,3.1
2009,5,2,24.5,52,11.9,3.6
2009,5,3,23.5,52,4.3,3.8
2009,5,4,23.7,55,5.7,4.5
2009,5,5,19.9,74,0,2.2
2009,5,6,19.4,82,0,2.8
2009,5,7,19.8,80,0,2.7
2009,5,8,20.3,81,0.7,2.5
2009,5,9,25.5,57,10.9,2.9
2009,5,10,28.3,63,9.9,2.2
2009,5,11,24.8,71,2,2.3
2009,5,12,24.9,70,1.9,2.9
2009,5,13,26.3,50,2.1,2.9
2009,5,14,23.4,30,11.6,4.9
2009,5,15,20.1,40,13.1,3.8
2009,5,16,19.6,62,0,3.3
2009,5,17,22,79,0,5.5
2009,5,18,28.4,50,10.8,3.3
2009,5,19,24.2,57,3.1,2.3
2009,5,20,29.3,52,12.5,2.9
2009,5,21,27.6,57,8,3.7
2009,5,22,24.3,68,4.5,5.9
2009,5,23,28.6,63,5.3,3
2009,5,24,22,70,0.4,1.8
2009,5,25,22.8,66,6.8,2.9
2009,5,26,25.8,62,12.1,3.1
2009,5,27,26,61,5.3,2.9
2009,5,28,20,76,0,3.1
2009,5,29,19.5,86,0,3
2009,5,30,20.4,83,0,2
2009,5,31,22.9,83,0.1,1.8
2009,6,1,22.1,70,1.9,2.3
2009,6,2,26.2,62,11.7,3.6
2009,6,3,24.4,66,0.4,4.6
2009,6,4,23.5,63,1.5,2.7
2009,6,5,21.8,77,0,1.6
2009,6,6,24.2,80,0.2,2.4
2009,6,7,28.9,63,11.7,2.7
2009,6,8,20.2,74,0,2
2009,6,9,24.3,69,0,2.1
2009,6,10,25.9,70,0.1,3.5
2009,6,11,25,77,3.1,2.9
2009,6,12,28.1,48,8.8,3.3
2009,6,13,26.8,67,5.1,2.3
2009,6,14,23.9,76,2.6,2.6
2009,6,15,23.9,73,0.5,2.7
2009,6,16,23.3,77,0,2.3
2009,6,17,24.6,71,3.5,2.9
2009,6,18,24.1,74,0,2.1
2009,6,19,26.7,73,4.9,2.7
2009,6,20,27.6,72,7.3,3.5
2009,6,21,24,90,0,2.1
2009,6,22,24.9,86,0,2.7
2009,6,23,29.7,72,6.1,3.3
2009,6,24,26.9,78,2,1.9
2009,6,25,28.2,73,1.9,2.1
2009,6,26,31.9,62,8.2,2.6
2009,6,27,31.8,62,9.8,2.6
2009,6,28,25.6,75,0,2.5
2009,6,29,29.9,66,7.3,2.7
2009,6,30,25.7,81,0.2,2.2
2009,7,1,25.7,82,0,1.8
2009,7,2,22.6,87,0,2.2
2009,7,3,26.3,79,0,2.1
2009,7,4,27.6,75,1.1,2.1
2009,7,5,26.3,74,0.7,2.8
2009,7,6,24.7,81,0,2.9
2009,7,7,31.5,72,7.4,4.6
2009,7,8,27.8,75,0.4,5.5
2009,7,9,30.5,70,2.6,4.5
2009,7,10,30.3,66,1.7,5.3
2009,7,11,27.4,53,1.6,2.3
2009,7,12,29.2,64,2.6,2.3
2009,7,13,33.6,65,7.7,4
2009,7,14,31.3,58,7.8,3.4
2009,7,15,33.6,62,11.9,4.7
2009,7,16,34.2,59,9.8,3.1
2009,7,17,28.4,71,0.8,2.2
2009,7,18,29.8,72,0.6,1.7
2009,7,19,33.9,65,3.4,4.2
2009,7,20,30,60,3.4,3
2009,7,21,23.7,81,0,1.7
2009,7,22,27.7,83,0,2.2
2009,7,23,29.7,79,1.1,2.5
2009,7,24,27.9,81,0.6,4.6
2009,7,25,31.9,74,8.6,5.3
2009,7,26,33.8,66,13,5.1
2009,7,27,30.9,76,5.6,4.3
2009,7,28,28.4,79,1,3.8
2009,7,29,31.2,77,1.8,4.8
2009,7,30,33.2,72,8.3,4
2009,7,31,26.5,77,0,2.6
2009,8,1,29,71,2,2.4
2009,8,2,26.4,79,0.1,1.6
2009,8,3,30.3,75,2.7,2.1
2009,8,4,29.6,78,2.3,2.8
2009,8,5,30,74,2.7,2.5
2009,8,6,30.5,79,0.6,2.2
2009,8,7,33.2,74,3.8,3.1
2009,8,8,30.4,77,0,2.2
2009,8,9,32.1,76,1.7,2.3
2009,8,10,28.6,85,0.3,3.1
2009,8,11,29.1,77,1.8,3.1
2009,8,12,30.6,72,7.9,2.9
2009,8,13,31.7,76,5.5,2
2009,8,14,30.5,66,0.5,2.3
2009,8,15,31.7,59,11.6,2.3
2009,8,16,33.2,54,11.2,2.2
2009,8,17,30.8,65,11.1,2.8
2009,8,18,30.1,65,1.9,2.9
2009,8,19,31.3,64,4.8,2.7
2009,8,20,31.6,64,9.2,3.7
2009,8,21,32.5,67,2.5,3.1
2009,8,22,31.6,68,4.5,2.3
2009,8,23,30.7,58,5.4,2.5
2009,8,24,30.2,62,4.1,2.5
2009,8,25,27.7,54,3.2,2.9
2009,8,26,27.6,58,3.7,2.6
2009,8,27,29.6,62,11.1,2.7
2009,8,28,31.4,61,10.1,3.7
2009,8,29,32.3,59,9.2,2.7
2009,8,30,27.1,76,0.6,3.7
2009,8,31,22.2,88,0,3.4
2009,9,1,31.5,71,6.8,2.1
2009,9,2,24,72,0,3.4
2009,9,3,24.5,68,0,2.6
2009,9,4,26.2,66,2.4,2.2
2009,9,5,29,67,8.8,2.3
2009,9,6,28.5,65,11.4,3
2009,9,7,29.3,68,9.9,2.6
2009,9,8,28.8,70,3.2,2.9
2009,9,9,23.7,70,0,2.7
2009,9,10,28.8,44,9.5,3
2009,9,11,26.9,49,3.6,2.1
2009,9,12,23.3,79,0,1.8
2009,9,13,28.9,65,7,1.8
2009,9,14,26.4,53,7.4,2.6
2009,9,15,23.9,70,0,1.7
2009,9,16,28.3,59,8.7,2.3
2009,9,17,26.5,53,8.8,2.7
2009,9,18,23.8,63,2.6,2.7
2009,9,19,25.7,65,0.8,3.2
2009,9,20,28.1,48,10.5,3.3
2009,9,21,23.4,62,0.4,2.7
2009,9,22,25.8,62,1,2.5
2009,9,23,26.9,56,1.4,2
2009,9,24,27.6,62,9.7,2.7
2009,9,25,28.5,61,11.4,2.7
2009,9,26,27.8,61,6.1,2.4
2009,9,27,24.4,68,0.8,2.6
2009,9,28,26.5,63,4.3,2.8
2009,9,29,25.1,73,0,2
2009,9,30,23.2,77,0,2.1
2010,5,1,20.1,45,11.7,2.7
2010,5,2,22.1,41,11.4,2.8
2010,5,3,24,51,8.9,4
2010,5,4,24.7,61,7.2,2.9
2010,5,5,27.6,64,10.5,2.5
2010,5,6,27.8,59,9.9,4.7
2010,5,7,22.3,77,0,5
2010,5,8,23.7,53,10.1,4.1
2010,5,9,26.6,44,10.8,2.7
2010,5,10,22.5,55,1.3,2.5
2010,5,11,19.7,77,0,2
2010,5,12,21.8,58,4.9,3.5
2010,5,13,20.9,33,10.5,4.2
2010,5,14,19.6,44,5.6,3.2
2010,5,15,19.3,49,9.5,2.8
2010,5,16,21.3,61,8.9,2.8
2010,5,17,26,61,12.3,2.7
2010,5,18,26.3,54,10.2,4.8
2010,5,19,22.9,70,1.5,5.4
2010,5,20,22.1,87,0,3.1
2010,5,21,30.9,55,12.6,2.8
2010,5,22,27.2,48,6.8,2.7
2010,5,23,21,75,0,2.1
2010,5,24,21.5,87,0,2.9
2010,5,25,29,60,10.2,4.4
2010,5,26,22.5,74,0.9,2.9
2010,5,27,22.2,71,4.1,2.7
2010,5,28,22.4,51,9.1,3.4
2010,5,29,17.6,67,0,2.9
2010,5,30,16.7,65,0,2.5
2010,5,31,21.9,55,9.9,2.6
2010,6,1,23.2,54,12.9,3
2010,6,2,24.8,53,13.4,2.6
2010,6,3,27.3,56,11.8,2.7
2010,6,4,26.4,58,12.5,3.5
2010,6,5,24.2,66,6,2.9
2010,6,6,26.1,55,12.7,2.6
2010,6,7,28.2,59,6.9,2.6
2010,6,8,23.3,61,0,2.2
2010,6,9,22.6,67,0,2.1
2010,6,10,28.2,60,12.1,2.6
2010,6,11,27.2,63,6.1,3
2010,6,12,28.9,65,11.7,3.6
2010,6,13,26,65,3.2,4.7
2010,6,14,21.5,83,0,3
2010,6,15,27.7,76,8.5,3.2
2010,6,16,30.3,75,3,3.6
2010,6,17,31.6,60,10.1,2.7
2010,6,18,28.9,76,1.1,2.3
2010,6,19,29.8,75,2.8,2.5
2010,6,20,29.1,70,1.9,4.1
2010,6,21,29,71,4,3.3
2010,6,22,29.2,72,1.6,2.2
2010,6,23,25.5,81,0.8,2.8
2010,6,24,28.3,60,7.2,2.7
2010,6,25,31.2,59,8,2.6
2010,6,26,28.7,72,0,3.3
2010,6,27,29,78,0.7,3.5
2010,6,28,31.8,76,1.3,1.8
2010,6,29,28.8,80,0.1,2.3
2010,6,30,28.9,74,2.1,2.6
2010,7,1,29.5,73,1.1,2
2010,7,2,31,71,4.8,2.7
2010,7,3,28.8,74,0.6,2.5
2010,7,4,31.6,78,2.9,1.9
2010,7,5,30.3,77,2,2.6
2010,7,6,30.6,76,2.6,2.3
2010,7,7,27.8,79,0.2,2.9
2010,7,8,30.1,75,10,2.8
2010,7,9,27.8,78,0,3.2
2010,7,10,31.1,64,11.8,3
2010,7,11,28.9,74,1.3,3.3
2010,7,12,29.1,75,0.7,6.5
2010,7,13,27.2,79,0,2.4
2010,7,14,31.3,75,4.9,4.2
2010,7,15,31.4,68,3.6,4.9
2010,7,16,31.9,70,6,3.7
2010,7,17,32.1,69,7.4,3.7
2010,7,18,31.7,68,12.3,4.6
2010,7,19,34.5,61,12.6,2.9
2010,7,20,34.5,62,11.5,2.4
2010,7,21,36.3,61,11.4,2.7
2010,7,22,36.1,60,11.3,2.9
2010,7,23,35.7,65,10.1,2.6
2010,7,24,35.8,63,11.9,2.8
2010,7,25,34.4,64,8.7,2.4
2010,7,26,33.3,71,5.4,2.7
2010,7,27,33.8,64,11.6,3.5
2010,7,28,34.2,59,11.3,5.1
2010,7,29,27.9,76,0,6.2
2010,7,30,29.2,82,2.2,4.3
2010,7,31,32.2,74,2.5,2
2010,8,1,34.1,71,8.1,2.6
2010,8,2,32.2,73,1.8,4.2
2010,8,3,33.3,69,10.4,5.2
2010,8,4,33.8,68,9.3,4.9
2010,8,5,33.4,68,12.3,4.9
2010,8,6,33.6,65,7.7,4.4
2010,8,7,33.2,63,11.8,4.2
2010,8,8,32.5,64,3.4,3.2
2010,8,9,28.9,77,0.2,3
2010,8,10,30.5,76,1.9,3.4
2010,8,11,31.9,72,6.1,4.7
2010,8,12,32.3,73,4.3,6.1
2010,8,13,30.3,70,1.3,2.6
2010,8,14,32.6,70,0.3,2.7
2010,8,15,35.5,65,8.3,3
2010,8,16,36.3,64,8.9,2.2
2010,8,17,37.2,60,11,2.9
2010,8,18,35.1,67,4,2.9
2010,8,19,33.1,71,2.1,3
2010,8,20,31.8,66,1.1,2.5
2010,8,21,32.8,66,7,2.7
2010,8,22,34.6,67,11.4,3.4
2010,8,23,35.1,68,10.9,3.1
2010,8,24,33.9,71,9.7,3.9
2010,8,25,33.8,65,9,2.9
2010,8,26,34.7,64,9.8,3.2
2010,8,27,33.8,66,9.1,2.7
2010,8,28,34.7,62,11.3,3.4
